Date,Affected pages
2026-03-23,0
2026-03-24,14
2026-03-25,14
2026-03-26,14
2026-03-27,14
2026-03-28,14
2026-03-29,14
2026-03-30,14
2026-03-31,14
2026-04-01,14
2026-04-02,14
2026-04-03,14
2026-04-04,14
2026-04-05,14
2026-04-06,14
2026-04-07,14
2026-04-08,14
2026-04-09,14
